      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
2006-09-04  200.63  178.22 202.38 213.89 231.41 240.93 274.88  292.65
2006-09-05  199.89  172.94 201.21 212.83 230.83 243.61 272.62  291.67
2006-09-06  197.85  169.75 198.67 208.62 229.54 244.44 271.80  287.86
2006-09-07  194.57  167.96 198.82 203.69 228.04 236.53 279.72  287.48
2006-09-08  194.15  169.47 196.02 207.10 226.67 242.80 269.13  292.23
2006-09-09  186.76  170.25 193.53 203.95 225.72 239.46 267.54  294.29
2006-09-10  185.42  173.44 191.75 201.58 225.08 235.20 270.03  290.77
2006-09-11  185.57  176.76 188.68 199.76 224.21 235.96 271.55  292.52
2006-09-12  186.42  176.96 186.39 199.22 224.02 237.31 266.51  296.29
2006-09-13  181.19  175.05 181.54 201.65 223.90 241.70 267.20  302.11
2006-09-14  176.12  171.22 179.93 204.26 223.44 241.72 266.27  305.81
2006-09-15  170.63  170.63 182.72 202.49 222.21 244.24 265.92  306.46
2006-09-16  166.54  166.54 180.02 203.13 220.60 237.95 262.54  311.58
2006-09-17  167.26  165.02 179.06 199.51 219.21 233.02 260.42  322.78
2006-09-18  168.61  168.61 173.82 189.52 217.34 230.89 258.72  322.58
2006-09-19  168.83  168.01 177.09 189.04 215.98 223.60 268.50  321.24
2006-09-20  166.96  166.96 178.50 188.70 215.72 222.39 277.60  326.42
2006-09-21  165.22  164.73 173.40 195.38 215.41 227.78 272.32  321.14
2006-09-22  160.06  156.95 173.67 194.21 215.43 230.35 281.74  310.74
2006-09-23  161.17  159.19 174.82 192.75 216.36 221.96 277.44  306.28
2006-09-24  166.55  160.20 171.58 190.29 216.32 229.88 273.87  321.66
2006-09-25  173.16  168.57 173.08 189.95 216.45 228.89 284.02  338.59
2006-09-26  180.58  167.95 175.14 189.09 218.15 228.04 283.50  351.22
2006-09-27  180.99  167.24 170.85 189.33 217.37 226.45 283.90  350.49
2006-09-28  174.39  165.84 173.29 188.91 217.87 228.76 286.07  348.04
2006-09-29  172.81  164.42 174.54 188.97 217.20 231.64 282.97  343.42
2006-09-30  183.38  159.97 175.86 185.03 215.64 225.03 279.72  335.47
2006-10-01  190.61  165.20 176.30 189.51 217.10 228.32 278.56  328.93
2006-10-02  194.16  165.08 175.10 192.96 220.46 237.71 279.89  322.55
2006-10-03  193.72  164.32 177.90 193.03 222.49 239.54 282.76  322.08
2006-10-04  178.36  162.94 178.37 192.18 223.75 238.15 284.83  326.08
2006-10-05  170.30  162.87 175.58 194.51 225.22 244.47 292.44  326.33
2006-10-06  174.25  163.20 176.21 196.51 224.36 240.80 283.87  308.76
2006-10-07  170.24  162.39 176.23 198.33 228.35 246.69 296.37  328.18
2006-10-08  166.61  161.42 183.74 202.81 229.80 246.39 293.09  330.30
2006-10-09  171.26  159.25 186.95 203.26 232.48 256.08 292.11  324.74
2006-10-10  179.96  160.97 186.61 207.70 235.16 255.05 299.39  330.69
2006-10-11  183.24  165.31 187.06 207.81 236.50 261.70 296.85  327.29
2006-10-12  186.26  168.49 188.72 212.13 237.75 267.41 291.62  329.73
2006-10-13  188.55  169.04 190.90 212.81 239.23 269.80 293.22  340.65
2006-10-14  182.69  168.77 188.64 218.32 241.66 264.00 294.16  347.22
2006-10-15  183.53  169.41 186.93 220.15 243.65 264.63 296.07  353.03
2006-10-16  192.08  169.62 195.52 223.50 244.75 266.01 295.36  355.32
2006-10-17  199.62  170.11 200.22 225.58 246.08 262.95 295.56  360.30
2006-10-18  208.00  169.00 203.28 224.96 248.06 269.55 297.34  358.93
2006-10-19  215.54  170.58 202.97 217.13 247.79 268.49 301.09  357.98
2006-10-20  215.05  168.54 199.00 216.54 248.26 267.50 300.68  361.45
2006-10-21  214.55  169.30 201.61 222.76 250.10 269.34 303.94  367.96
2006-10-22  222.23  172.53 203.90 226.61 252.23 273.03 305.33  378.14
2006-10-23  229.24  176.34 206.89 232.51 253.55 270.04 307.05  379.17
2006-10-24  218.45  176.77 204.25 235.45 252.80 268.33 300.97  373.94
2006-10-25  211.20  176.54 199.16 232.33 251.77 266.93 300.95  363.20
2006-10-26  205.34  178.14 198.91 230.61 251.64 272.83 297.60  357.56
2006-10-27  198.04  179.77 195.81 232.99 252.00 271.43 297.85  354.72
2006-10-28  205.54  183.97 197.09 234.42 254.66 278.12 300.76  354.69
2006-10-29  214.03  185.01 206.51 233.23 257.34 285.84 303.01  357.63
2006-10-30  211.60  183.99 205.19 232.02 259.03 287.04 303.98  354.04
2006-10-31  203.50  185.06 203.50 231.91 259.90 288.69 312.05  359.53
2006-11-01  212.45  187.81 213.42 232.43 262.66 291.92 318.86  359.87
2006-11-02  214.10  195.44 212.33 236.35 264.82 292.53 323.55  357.75
2006-11-03  205.53  196.28 205.53 235.43 265.26 292.64 324.83  356.33
2006-11-04  204.42  203.25 207.59 236.32 266.03 294.53 322.42  350.41
2006-11-05  197.80  197.80 211.71 234.31 267.02 301.05 329.90  342.86
2006-11-06  196.60  196.60 213.45 233.72 268.51 302.56 329.09  341.97
2006-11-07  205.84  195.55 218.60 234.85 270.75 303.48 331.04  344.95
2006-11-08  212.86  208.24 221.29 237.01 272.90 298.76 330.02  351.97
2006-11-09  215.72  210.29 222.66 242.98 275.08 304.98 333.75  353.89
2006-11-10  214.28  214.28 220.91 242.14 276.52 299.60 337.39  356.22
2006-11-11  218.49  209.57 227.07 244.81 278.61 310.14 337.80  359.50
2006-11-12  220.95  207.94 224.21 245.18 280.56 316.07 335.24  364.73
2006-11-13  221.52  203.06 221.52 247.91 281.34 314.11 336.66  368.38
2006-11-14  224.07  202.19 223.35 251.53 282.73 310.38 345.87  371.48
2006-11-15  228.69  204.41 220.97 256.88 284.42 311.32 347.85  373.40
2006-11-16  234.27  209.87 219.55 258.56 286.57 317.92 346.35  374.51
